â„–,Recording,Reference,Prediction,IsCorrect
1,A0001,5,5,True
2,A0002,1,1,True
3,A0003,2,2,True
4,A0004,2,2,True
5,A0005,7,7,True
6,A0006,5,5,True
7,A0007,2,2,True
8,A0008,8,8,True
9,A0009,2,2,True
10,A0010,5,5,True
11,A0011,4,4,True
12,A0012,7,7,True
13,A0013,8,8,True
14,A0014,8,8,True
15,A0015,5,5,True
16,A0016,1,1,True
17,A0017,2,2,True
18,A0018,4,4,True
19,A0019,2,2,True
20,A0020,1,1,True
21,A0021,9,9,True
22,A0022,5,5,True
23,A0023,2,2,True
24,A0024,7,7,True
25,A0025,7,7,True
26,A0026,2,2,True
27,A0027,5,5,True
28,A0028,5,5,True
29,A0029,1,1,True
30,A0030,1,1,True
31,A0031,7,8,False
32,A0032,9,9,True
33,A0033,8,8,True
34,A0034,9,9,True
35,A0035,5,5,True
36,A0036,9,9,True
37,A0037,1,1,True
38,A0038,1,1,True
39,A0039,3,3,True
40,A0040,8,8,True
41,A0041,1,1,True
42,A0042,3,5,False
43,A0043,"2, 5",5,True
44,A0044,4,4,True
45,A0045,7,7,True
46,A0046,9,9,True
47,A0047,6,1,False
48,A0048,8,8,True
49,A0049,6,6,True
50,A0050,7,1,False
51,A0051,5,5,True
52,A0052,7,7,True
53,A0053,5,5,True
54,A0054,9,1,False
55,A0055,6,8,False
56,A0056,8,8,True
57,A0057,4,4,True
58,A0058,9,9,True
59,A0059,1,1,True
60,A0060,8,8,True
61,A0061,2,2,True
62,A0062,6,1,False
63,A0063,9,9,True
64,A0064,2,2,True
65,A0065,2,2,True
66,A0066,5,5,True
67,A0067,8,8,True
68,A0068,5,5,True
69,A0069,5,5,True
70,A0070,3,3,True
71,A0071,2,2,True
72,A0072,9,9,True
73,A0073,1,1,True
74,A0074,4,4,True
75,A0075,1,1,True
76,A0076,8,8,True
77,A0077,8,8,True
78,A0078,5,5,True
79,A0079,"2, 5",2,True
80,A0080,6,8,False
81,A0081,4,4,True
82,A0082,4,4,True
83,A0083,5,5,True
84,A0084,7,6,False
85,A0085,5,5,True
86,A0086,2,2,True
87,A0087,5,5,True
88,A0088,7,7,True
89,A0089,1,1,True
90,A0090,1,3,False
91,A0091,6,1,False
92,A0092,8,8,True
93,A0093,9,4,False
94,A0094,1,1,True
95,A0095,5,5,True
96,A0096,5,5,True
97,A0097,6,1,False
98,A0098,5,5,True
99,A0099,7,7,True
100,A0100,8,8,True
101,A0101,2,8,False
102,A0102,3,3,True
103,A0103,7,8,False
104,A0104,3,3,True
105,A0105,7,7,True
106,A0106,8,6,False
107,A0107,1,1,True
108,A0108,6,1,False
109,A0109,"2, 5",5,True
110,A0110,8,8,True
111,A0111,8,8,True
112,A0112,"2, 5",5,True
113,A0113,6,1,False
114,A0114,5,5,True
115,A0115,6,2,False
116,A0116,5,5,True
117,A0117,2,2,True
118,A0118,3,3,True
119,A0119,5,5,True
120,A0120,9,1,False
121,A0121,2,2,True
122,A0122,2,2,True
123,A0123,7,6,False
124,A0124,6,6,True
125,A0125,1,1,True
126,A0126,2,2,True
127,A0127,5,1,False
128,A0128,8,8,True
129,A0129,7,6,False
130,A0130,7,7,True
131,A0131,4,4,True
132,A0132,3,3,True
133,A0133,1,1,True
134,A0134,5,5,True
135,A0135,5,1,False
136,A0136,6,1,False
137,A0137,6,1,False
138,A0138,5,5,True
139,A0139,9,1,False
140,A0140,8,8,True
141,A0141,1,1,True
142,A0142,5,5,True
143,A0143,1,1,True
144,A0144,7,7,True
145,A0145,2,2,True
146,A0146,7,7,True
147,A0147,9,9,True
148,A0148,8,8,True
149,A0149,1,1,True
150,A0150,2,2,True
151,A0151,5,5,True
152,A0152,"5, 8",5,True
153,A0153,2,2,True
154,A0154,8,8,True
155,A0155,5,5,True
156,A0156,7,7,True
157,A0157,1,1,True
158,A0158,7,7,True
159,A0159,7,1,False
160,A0160,5,5,True
161,A0161,5,2,False
162,A0162,7,7,True
163,A0163,"3, 9",3,True
164,A0164,1,1,True
165,A0165,8,8,True
166,A0166,1,1,True
167,A0167,6,7,False
168,A0168,5,5,True
169,A0169,5,5,True
170,A0170,1,1,True
171,A0171,5,5,True
172,A0172,3,3,True
173,A0173,1,8,False
174,A0174,9,1,False
175,A0175,1,1,True
176,A0176,1,1,True
177,A0177,1,1,True
178,A0178,5,5,True
179,A0179,1,1,True
180,A0180,5,3,False
181,A0181,5,5,True
182,A0182,"4, 7",4,True
183,A0183,5,5,True
184,A0184,2,2,True
185,A0185,8,8,True
186,A0186,2,2,True
187,A0187,8,1,False
188,A0188,3,3,True
189,A0189,1,3,False
190,A0190,1,1,True
191,A0191,6,8,False
192,A0192,1,1,True
193,A0193,1,1,True
194,A0194,8,8,True
195,A0195,8,8,True
196,A0196,8,8,True
197,A0197,6,6,True
198,A0198,2,2,True
199,A0199,5,5,True
200,A0200,5,5,True
201,A0201,8,8,True
202,A0202,"3, 7",7,True
203,A0203,2,2,True
204,A0204,7,7,True
205,A0205,2,2,True
206,A0206,1,1,True
207,A0207,7,5,False
208,A0208,1,8,False
209,A0209,5,5,True
210,A0210,1,1,True
211,A0211,5,5,True
212,A0212,3,3,True
213,A0213,"2, 8",2,True
214,A0214,2,2,True
215,A0215,5,5,True
216,A0216,5,5,True
217,A0217,2,2,True
218,A0218,"5, 6",5,True
219,A0219,5,5,True
220,A0220,2,2,True
221,A0221,1,1,True
222,A0222,2,2,True
223,A0223,3,3,True
224,A0224,"5, 6",5,True
225,A0225,5,5,True
226,A0226,5,5,True
227,A0227,6,7,False
228,A0228,5,5,True
229,A0229,1,3,False
230,A0230,5,5,True
231,A0231,2,2,True
232,A0232,8,8,True
233,A0233,1,1,True
234,A0234,8,8,True
235,A0235,2,2,True
236,A0236,3,3,True
237,A0237,"6, 8",8,True
238,A0238,3,6,False
239,A0239,3,3,True
240,A0240,3,3,True
241,A0241,7,6,False
242,A0242,5,5,True
243,A0243,3,2,False
244,A0244,4,4,True
245,A0245,7,5,False
246,A0246,3,3,True
247,A0247,2,2,True
248,A0248,3,3,True
249,A0249,5,5,True
250,A0250,5,5,True
251,A0251,"5, 6",5,True
252,A0252,7,7,True
253,A0253,4,4,True
254,A0254,1,1,True
255,A0255,5,5,True
256,A0256,9,9,True
257,A0257,2,2,True
258,A0258,5,5,True
259,A0259,5,5,True
260,A0260,2,2,True
261,A0261,5,5,True
262,A0262,3,3,True
263,A0263,3,3,True
264,A0264,1,1,True
265,A0265,6,1,False
266,A0266,5,5,True
267,A0267,2,2,True
268,A0268,5,5,True
269,A0269,7,8,False
270,A0270,6,2,False
271,A0271,2,2,True
272,A0272,2,2,True
273,A0273,5,5,True
274,A0274,2,2,True
275,A0275,6,5,False
276,A0276,2,2,True
277,A0277,"7, 8",8,True
278,A0278,8,8,True
279,A0279,2,2,True
280,A0280,3,3,True
281,A0281,1,1,True
282,A0282,8,6,False
283,A0283,1,9,False
284,A0284,3,3,True
285,A0285,1,1,True
286,A0286,5,5,True
287,A0287,1,1,True
288,A0288,3,3,True
289,A0289,6,6,True
290,A0290,2,2,True
291,A0291,4,4,True
292,A0292,3,3,True
293,A0293,5,5,True
294,A0294,5,8,False
295,A0295,6,8,False
296,A0296,5,5,True
297,A0297,8,8,True
298,A0298,5,5,True
299,A0299,6,1,False
300,A0300,"5, 6",5,True
300,,,,0.8233333333333334
